iter	Passed	Remaining
0	177	354704
1	345	345526
2	401	267254
3	618	308631
4	783	312689
5	980	325900
6	1217	346697
7	2047	509754
8	2670	590752
9	3254	647551
10	3633	656992
11	3953	654997
12	4226	646072
13	4607	653568
14	4925	651798
15	5273	653926
16	5576	650460
17	5836	642637
18	6085	634442
19	6317	625432
20	6525	614909
21	6716	603845
22	6911	594111
23	7071	582198
24	7274	574657
25	7484	568210
26	7663	559974
27	7905	556794
28	8073	548717
29	8229	540415
30	8414	534458
31	8653	532160
32	8828	526226
33	9021	521644
34	9164	514532
35	9311	507996
36	9546	506501
37	9831	507609
38	10159	510859
39	10376	508441
40	10675	510082
41	11075	516345
42	11325	515427
43	11801	524633
44	12719	552585
45	13579	576848
46	13914	578204
47	14304	581702
48	14552	579429
49	14812	577688
50	14992	572965
51	15168	568232
52	15334	563338
53	15503	558687
54	15666	554040
55	15803	548609
56	15956	543923
57	16133	540201
58	16298	536190
59	16451	531931
60	16666	529762
61	16813	525571
62	16972	521838
63	17153	518890
64	17318	515551
65	17479	512194
66	17682	510159
67	17890	508292
68	18104	506665
69	18301	504592
70	18589	505060
71	18749	502078
72	18991	501315
73	19312	502657
74	19705	505767
75	20571	520784
76	21559	538427
77	22131	545354
78	22578	549037
79	23017	552421
80	23392	554207
81	23668	553619
82	23892	551831
83	24126	550313
84	24302	547523
85	24499	545266
86	24683	542758
87	24846	539837
88	25019	537223
89	25205	534925
90	25376	532347
91	25556	530011
92	25807	529196
93	26032	527847
94	26233	526048
95	26412	523853
96	26616	522171
97	26823	520589
98	27033	519096
99	27226	517312
100	27426	515663
101	27626	514066
102	27805	512103
103	28004	510542
104	28214	509202
105	28650	511927
106	29153	515763
107	29845	522850
108	30316	525943
109	30711	527687
110	31204	531037
111	31719	534699
112	32102	536077
113	32401	536042
114	32837	538255
115	33006	536069
116	33392	537421
117	33658	536822
118	33926	536261
119	34159	535165
120	34507	535860
121	34740	534775
122	34979	533785
123	35166	532033
124	35365	530488
125	35545	528666
126	35597	524999
127	35775	523214
128	35929	521111
129	36104	519349
130	36259	517325
131	36414	515324
132	36597	513741
133	36775	512111
134	36973	510775
135	37134	508967
136	37287	507053
137	37466	505524
138	37695	504684
139	37883	503309
140	38079	502052
141	38244	500411
142	38413	498833
143	38501	496246
